z,video_time_plateau_start,video_time_plateau_end
0.000,0,7
0.015,8,9
0.030,11,13
0.045,14,16
0.055,27,29
0.065,30,32
0.080,33,34
0.095,47,51
0.110,54,61
0.120,127,130
0.140,133,135
0.150,136,137
0.160,151,154
0.175,155,156
0.195,187,190
0.205,191,193
0.195,207,211
0.180,212,215
0.150,216,216.5
0.130,232,235
0.110,237,239
0.090,241,243
0.075,270,273
0.055,274,277
0.035,279,281
0.015,296,300
-0.005,302,306
-0.025,309,311
-0.045,328,333
-0.065,335,338
-0.090,339,341
-0.110,359,361
-0.125,362,365
-0.150,367,361
-0.160,372,375
-0.180,390,395
-0.190,396,400
-0.200,402,405
-0.180,423,426
-0.165,428,431
-0.150,433,435
-0.135,447,450
-0.120,451,456
-0.105,459,461
-0.080,472,475
-0.050,477,480
-0.035,481,482
-0.015,492,494
0.005,496,499
0.020,500,502
0.040,512,516
0.050,519,522
0.080,524,526
0.090,538,540
0.110,541,544
0.130,546,547
0.155,560,562
0.175,564,566
0.195,568,570
0.215,577,586
0.245,604,607
0.270,608,612
0.305,614,618
0.335,634,637
0.360,639,641
0.390,642,643
0.475,661,663
0.505,666,668
0.540,670,671
0.590,682,685
0.625,686,689
0.665,690,699
