z,video_time_plateau_start,video_time_plateau_end
0.000,1,3.5
-0.025,7,9
-0.050,13,15
-0.075,18,21
-0.100,25,27
-0.125,31,34
-0.150,37,40
-0.175,44,48
-0.200,51,55
-0.225,57,63
-0.200,72,75
-0.175,78,83
-0.150,85,88
-0.125,91,95
-0.100,98,101
-0.075,105,108
-0.050,111,115
-0.025,118,122
0.000,124,128
0.030,132,134
0.050,138,140
0.075,147,149
0.100,151,155
0.125,158,161
0.150,165,167
0.175,172,175
0.200,177,182
0.175,187,191
0.150,193,195
0.125,197,200
0.100,202,205
0.075,208,210
0.050,212.5,214
0.025,217,219
-0.005,222,230
-0.025,232,236
-0.050,240,242
-0.075,245,249
-0.100,252,255
-0.125,258,261
-0.150,264,267
-0.175,270,273
-0.200,277,281
