x,video_time_plateau_start,video_time_plateau_end
0.000,0,5
0.030,8,12
0.065,14,19
0.075,20,25
0.100,26,30
0.130,31,36
0.155,38,41
0.175,43,46
0.200,49,60
0.175,64,68
0.150,69,74
0.125,76,80
0.100,82,85
0.075,87,89
0.050,92,95
0.015,98,126
-0.010,128,133
-0.030,137,142
-0.050,145,149
-0.075,152,157
-0.100,160,163
-0.125,169,171
-0.150,174,177
-0.175,181,185
-0.200,187,193
-0.170,195,197
-0.150,201,205
-0.125,207,211
-0.100,214,218
-0.075,220,224
-0.050,226,231
-0.025,233,236
0.000,238,246
0.025,248,251
0.050,253,256
0.075,258,262
0.100,265,270
0.125,272,276
0.150,279,282
0.180,285,289
0.200,292,295
